City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Harper,4.375,-7.7169,79.23,84,64,4.72,LR,1621130295
Sibolga,1.7427,98.7792,82.8,76,100,0.81,ID,1621130295
Kyren,51.6828,102.1408,61.95,36,42,4.65,RU,1621130296
Sitka,57.0531,-135.33,46.4,71,90,12.66,US,1621130200
Rawson,-43.3002,-65.1023,53.85,51,89,7.72,AR,1621130196
Padang,-0.9492,100.3543,78.8,89,40,2.3,ID,1621130297
Riyadh,24.6877,46.7219,84.67,16,0,6.06,SA,1621130015
Sola,-13.8833,167.55,81.97,74,37,7.09,VU,1621130297
Touros,-5.1989,-35.4608,73.4,94,20,4.61,BR,1621130298
Chengde,40.9725,117.9361,66.52,27,100,6.71,CN,1621130299
Santa Flavia,38.085,13.5351,60.85,32,80,5.01,IT,1621130299
Kota Bharu,6.1333,102.2386,84.09,79,20,4.61,MY,1621130300
Fort Nelson,58.8053,-122.7002,59.0,44,75,4.61,CA,1621130109
Longyearbyen,78.2186,15.6401,23.0,68,40,6.91,SJ,1621130300
Saint Anthony,45.0205,-93.218,63.28,51,1,6.91,US,1621130289
Gbarnga,6.9956,-9.4722,73.31,99,100,1.54,LR,1621130301
Leningradskiy,69.3833,178.4167,31.19,94,97,6.6,RU,1621130246
Shuyskoye,59.3736,41.0305,53.85,94,1,7.7,RU,1621130302
Palimbang,6.2106,124.1894,88.34,65,58,4.61,PH,1621130127
Concarneau,47.875,-3.9225,51.75,93,75,5.75,FR,1621130302
Erzin,36.9559,36.2,68.0,90,54,2.3,TR,1621130303
Llanes,43.4198,-4.7549,60.13,88,100,5.95,ES,1621130303
Kothāpet,19.3333,79.4833,86.83,63,100,13.04,IN,1621130303
Vila,42.0304,-8.1588,57.0,95,100,11.99,PT,1621130304
New Norfolk,-42.7826,147.0587,52.34,78,98,5.99,AU,1621130304
Bubaque,11.2833,-15.8333,77.27,84,83,11.83,GW,1621130079
Parnamirim,-5.9156,-35.2628,74.48,88,20,6.91,BR,1621130290
Santa Maria,-29.6842,-53.8069,51.8,100,0,2.3,BR,1621130306
Tezu,27.9167,96.1667,81.84,44,26,3.11,IN,1621130307
Abhā,18.2164,42.5053,67.05,18,0,4.7,SA,1621130307
Syzran',53.1585,48.4681,63.25,62,12,5.48,RU,1621130307
Province of Mantua,45.1667,10.7833,56.73,82,81,1.99,IT,1621130308
Etchoropo,26.7667,-109.6667,87.01,35,1,8.03,MX,1621130308
Staroaleyskoye,51.0061,82.0,62.35,57,7,3.65,RU,1621130309
Rosetown,51.5501,-108.0014,73.4,23,99,14.97,CA,1621130309
Tiksi,71.6872,128.8694,31.71,92,100,6.78,RU,1621130310
Yerbogachën,61.2767,108.0108,30.7,59,100,17.63,RU,1621130310
Pires do Rio,-17.2997,-48.2794,68.76,57,100,3.67,BR,1621130311
San Patricio,28.017,-97.5169,75.07,94,90,12.66,US,1621130311
Lata,40.1629,-8.3327,59.0,94,100,1.99,PT,1621130311
Jesús Carranza,17.4333,-95.0333,79.88,72,6,5.57,MX,1621130312
Tsuruoka,38.7217,139.8217,73.4,64,75,12.66,JP,1621130312
Marabá,-5.3686,-49.1178,72.52,98,100,2.77,BR,1621130313
Ratnagiri,16.9833,73.3,83.48,69,100,17.38,IN,1621130313
Westport,41.1415,-73.3579,62.29,48,1,5.75,US,1621130314
Tāybād,34.74,60.7756,66.16,24,0,14.65,IR,1621130314
Morón,-34.6534,-58.6198,56.07,61,72,2.62,AR,1621130248
Road Town,18.4167,-64.6167,80.24,83,20,5.75,VG,1621130159
Mitsamiouli,-11.3847,43.2844,80.33,74,65,10.58,KM,1621130182
Yeniseysk,58.4497,92.1703,42.03,48,100,3.78,RU,1621130315
Hervey Bay,-25.2986,152.8535,66.2,37,3,11.5,AU,1621130295
Dunedin,-45.8742,170.5036,55.99,65,0,8.01,NZ,1621130316
Kimbe,-5.5502,150.1429,91.67,52,84,5.46,PG,1621130316
Oskemen,49.9565,82.6119,55.4,71,0,2.24,KZ,1621130317
Payo,-3.7508,103.6372,84.0,69,62,1.72,ID,1621130317
Tautira,-17.7333,-149.15,86.0,62,40,6.91,PF,1621130318
Machalí,-34.1833,-70.6667,59.76,50,100,2.77,CL,1621130318
Orvault,47.271,-1.6219,52.43,93,75,5.75,FR,1621130319
Petropavlovsk-Kamchatskiy,53.0452,158.6483,57.2,26,100,13.42,RU,1621130286
Nanortalik,60.1432,-45.2371,36.14,83,11,2.01,GL,1621130319
Gunjur,13.2019,-16.7339,73.4,88,18,5.75,GM,1621130320
Coyhaique,-45.5752,-72.0662,44.6,81,40,6.91,CL,1621130320
Ghātanji,20.1333,78.3167,86.9,59,90,15.88,IN,1621130321
Shimoda,34.6667,138.95,70.61,78,75,6.91,JP,1621130321
Dandong,40.1292,124.3947,64.53,45,100,14.54,CN,1621130052
Mahon,39.8885,4.2658,62.6,88,0,9.22,ES,1621130322
Serenje,-13.2325,30.2352,53.15,76,5,3.24,ZM,1621130322
Cagayan de Oro,8.4822,124.6472,93.0,65,54,5.03,PH,1621130322
Lebu,-37.6167,-73.65,51.35,87,0,8.32,CL,1621130323
Isabela,6.7085,121.9711,84.2,84,75,3.44,PH,1621130256
Gisborne,-38.6533,178.0042,64.0,56,13,3.0,NZ,1621130323
Najrān,17.4924,44.1277,84.2,26,40,4.61,SA,1621130324
Salalah,17.0151,54.0924,82.4,83,40,3.44,OM,1621130324
Mayya,61.7333,130.2811,62.6,34,0,6.71,RU,1621130325
Puerto Escondido,15.85,-97.0667,83.82,75,38,4.09,MX,1621130325
Aykhal,66.0,111.5,19.4,91,100,21.5,RU,1621130325
Leshukonskoye,64.8989,45.7622,51.62,85,100,6.06,RU,1621130327
Bam,29.106,58.357,74.23,23,0,2.46,IR,1621130327
Zhezkazgan,47.8043,67.7144,64.8,39,0,6.6,KZ,1621130328
Torbay,47.6666,-52.7314,38.23,100,75,5.73,CA,1621130328
Chokurdakh,70.6333,147.9167,32.74,98,100,6.85,RU,1621130328
Ust-Kuyga,70.0167,135.6,43.03,58,32,5.35,RU,1621130329
Havøysund,70.9963,24.6622,33.8,93,90,16.11,NO,1621130329
Coquimbo,-29.9533,-71.3436,55.4,88,0,2.3,CL,1621130055
Fallon,39.4735,-118.7774,55.69,67,75,11.5,US,1621130330
Uray,60.1247,64.7758,61.21,79,100,3.8,RU,1621130330
Mae Sot,16.7167,98.5667,84.2,70,20,3.44,TH,1621130331
Coahuayana Viejo,18.7333,-103.6833,80.71,75,1,2.93,MX,1621130331
Antofagasta,-23.65,-70.4,60.8,77,90,11.5,CL,1621130062
Souillac,-20.5167,57.5167,73.4,78,20,10.36,MU,1621130332
Biltine,14.5333,20.9167,80.17,5,6,9.01,TD,1621130332
Kirakira,-10.4544,161.9205,86.29,68,8,6.58,SB,1621130333
Bachatskiy,54.2927,86.1285,63.48,55,58,12.53,RU,1621130333
Lázaro Cárdenas,17.9583,-102.2,82.2,74,0,7.38,MX,1621130333
Ossora,59.2353,163.0719,36.34,86,22,2.77,RU,1621130334
Alofi,-19.0595,-169.9187,82.4,74,4,12.66,NU,1621130334
Aitape,-3.1374,142.3475,86.9,68,100,8.05,PG,1621130335
Akdepe,42.0551,59.3788,61.72,39,0,9.22,TM,1621130335
Te Anau,-45.4167,167.7167,51.33,57,7,5.91,NZ,1621130336
Tsimmerbude,54.675,20.1347,44.29,100,90,4.47,RU,1621130336
Tomatlán,19.9333,-105.25,81.07,58,0,3.89,MX,1621130336
Port Keats,-14.25,129.55,83.82,22,2,14.12,AU,1621130337
Colares,38.7992,-9.4469,64.18,88,81,7.52,PT,1621130337
Deputatsky,69.3,139.9,28.06,94,82,3.8,RU,1621130338
Andros,37.8333,24.9333,62.6,94,0,3.44,GR,1621130290
Kasongo,-4.45,26.6667,69.73,88,49,2.13,CD,1621130339
Kiryat Gat,31.61,34.7642,61.0,82,2,1.23,IL,1621130339
Culaman,5.9603,125.6586,87.8,62,20,9.22,PH,1621130339
Ketchikan,55.3422,-131.6461,51.8,82,90,8.05,US,1621130340
Lavrentiya,65.5833,-171.0,33.66,91,18,4.25,RU,1621130340
Tshikapa,-6.4167,20.8,75.52,66,99,2.42,CD,1621130341
Maniitsoq,65.4167,-52.9,35.2,87,97,6.62,GL,1621130341
Cayenne,4.9333,-52.3333,76.24,100,90,2.3,GF,1621130230
Khandagayty,50.7333,92.05,57.94,39,8,3.38,RU,1621130342
Kokopo,-4.352,152.2633,87.51,60,89,6.69,PG,1621130342
Izumo,35.3667,132.7667,77.0,78,75,14.97,JP,1621130342
Yulara,-25.2406,130.9889,60.8,48,2,19.57,AU,1621130217
Springbok,-29.6643,17.8865,52.2,91,100,9.6,ZA,1621130343
Qaqortoq,60.7167,-46.0333,41.0,38,6,4.61,GL,1621130154
Igunga,-4.2833,33.8833,64.99,76,5,3.42,TZ,1621130344
Ilulissat,69.2167,-51.1,35.6,64,75,3.44,GL,1621130219
Haicheng,40.8516,122.7475,67.37,26,100,19.91,CN,1621130345
Beringovskiy,63.05,179.3167,32.4,95,100,8.41,RU,1621130345
Quatre Cocos,-20.2078,57.7625,74.75,78,20,10.36,MU,1621130330
Edgewater,28.9889,-80.9023,69.19,56,20,14.97,US,1621130346
Stykkisholmur,65.0757,-22.7297,35.83,70,7,14.74,IS,1621130346
Uribia,11.7139,-72.266,81.66,67,71,15.14,CO,1621130346
Fukuechō,32.6881,128.8419,73.4,100,75,14.97,JP,1621130347
Paramonga,-10.6667,-77.8333,64.78,85,5,7.27,PE,1621130347
Sorong,-0.8833,131.25,84.96,71,45,5.1,ID,1621130314
Halifax,44.6453,-63.5724,46.15,61,20,5.75,CA,1621130315
Tucuruí,-3.7661,-49.6725,73.24,98,100,4.16,BR,1621130348
Egvekinot,66.3167,-179.1667,31.26,95,18,4.36,RU,1621130348
Pemangkat,1.1667,108.9667,83.91,73,51,3.6,ID,1621130083
Gbadolite,4.2833,21.0167,69.22,96,100,0.94,CD,1621130349
Vidim,56.4088,103.1106,43.27,53,90,8.46,RU,1621130349
Cham,47.1821,8.4636,45.0,81,90,5.75,CH,1621130351
Shingū,33.7333,135.9833,71.6,88,75,10.36,JP,1621130351
Airai,-8.9266,125.4092,70.61,53,81,4.38,TL,1621130131
Belmonte,-15.8631,-38.8828,69.8,83,20,4.61,BR,1621130352
Davila,18.4726,120.5763,89.6,70,20,8.05,PH,1621130352
Lianran,24.9227,102.485,66.2,55,0,13.42,CN,1621130353
Rundu,-17.9333,19.7667,56.93,48,4,3.87,NA,1621130353
Svobodnyy,51.4,128.1333,60.1,42,0,13.53,RU,1621130353
Mattawa,46.7379,-119.9028,82.0,17,6,8.99,US,1621130354
Blind River,46.1834,-82.9582,53.6,50,1,3.44,CA,1621130354
Port Blair,11.6667,92.75,86.0,89,40,1.14,IN,1621130355
Mehamn,71.0357,27.8492,34.56,84,100,20.22,NO,1621130355
Balkhash,46.844,74.9804,59.0,33,0,15.66,KZ,1621130356
Heilbron,-27.2812,27.9709,49.01,45,0,6.89,ZA,1621130356
Verkh-Usugli,52.7,115.1667,56.12,40,93,13.42,RU,1621130245
Severo-Kuril'sk,50.6789,156.125,42.33,67,100,14.65,RU,1621130245
Gambiran,-6.7988,111.4951,83.46,66,0,6.51,ID,1621130357
Kapit,2.0167,112.9333,77.97,95,100,1.88,MY,1621130357
São João da Barra,-21.6403,-41.0511,67.86,79,2,1.57,BR,1621130358
Steinbach am Taunus,50.1667,8.5667,47.08,93,40,8.05,DE,1621130358
Price,39.5994,-110.8107,73.4,16,1,23.02,US,1621130358
Port Shepstone,-30.7414,30.455,68.59,38,6,6.44,ZA,1621130359
Todos Santos,23.45,-110.2167,83.53,48,40,8.05,MX,1621130359
Itacoatiara,-3.1431,-58.4442,75.61,94,97,2.64,BR,1621130360
Yuanping,38.7153,112.7575,55.65,49,100,9.19,CN,1621130360
Sungai Penuh,-2.0833,101.3833,75.04,77,62,0.89,ID,1621130360
Boguchany,58.3814,97.4531,40.78,47,62,6.22,RU,1621130361
Iisalmi,63.5592,27.1907,51.8,93,0,3.44,FI,1621130361
Tucumcari,35.1717,-103.725,69.8,56,1,20.71,US,1621130362
Lompoc,34.6391,-120.4579,52.92,67,66,12.66,US,1621130362
Kiama,-34.6833,150.8667,61.68,43,0,8.99,AU,1621130362
Murgab,37.4966,61.9714,64.4,45,0,4.61,TM,1621130363
Asău,46.4333,26.4,48.99,64,99,2.06,RO,1621130363
